epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.563,2.09205,1.54493,1.38277,0.43122,0.41042,0.34567,0.14096,2.06641,1.53811,1.36455,0.0700571,0.00332698,0.00332698
2,249.724,1.9144,1.37461,1.28015,0.36413,0.42686,0.31495,0.13264,2.04518,1.84917,1.35599,0.0397275,0.00633063,0.00633063
3,362.574,1.84508,1.30573,1.24031,0.5315,0.47724,0.45443,0.21658,1.76402,1.28919,1.21781,0.00906777,0.00900428,0.00900428
4,473.571,1.79284,1.24262,1.20579,0.59211,0.52677,0.52412,0.25236,1.70546,1.21807,1.18461,0.008515,0.008515,0.008515
5,579.794,1.74439,1.21399,1.18426,0.61468,0.54108,0.54594,0.27347,1.64919,1.14858,1.16521,0.00802,0.00802,0.00802
6,686.592,1.6994,1.17985,1.16712,0.61343,0.54726,0.55972,0.27815,1.64121,1.12867,1.13589,0.007525,0.007525,0.007525
7,791.597,1.6852,1.14819,1.15197,0.62166,0.55866,0.56222,0.27893,1.63995,1.11867,1.14121,0.00703,0.00703,0.00703
8,908,1.65622,1.12907,1.14168,0.65078,0.5606,0.58677,0.29839,1.6026,1.07975,1.11505,0.006535,0.006535,0.006535
9,1012.08,1.63892,1.10411,1.12949,0.66609,0.57254,0.60721,0.30954,1.58426,1.05394,1.11228,0.00604,0.00604,0.00604
10,1124.81,1.61027,1.09119,1.12279,0.63312,0.56237,0.57034,0.28612,1.63751,1.11316,1.12996,0.005545,0.005545,0.005545
11,1238.37,1.67328,1.14494,1.14436,0.68175,0.57698,0.61433,0.3119,1.57366,1.04494,1.10439,0.00505,0.00505,0.00505
12,1341,1.65181,1.12521,1.13288,0.67903,0.58021,0.61843,0.31886,1.55829,1.03585,1.09725,0.004555,0.004555,0.004555
13,1450.81,1.63891,1.10733,1.12376,0.69404,0.60027,0.63495,0.32642,1.56186,1.02671,1.084,0.00406,0.00406,0.00406
14,1556.7,1.62172,1.09195,1.11304,0.69766,0.59665,0.63891,0.33402,1.5346,0.99629,1.08106,0.003565,0.003565,0.003565
15,1670.05,1.60693,1.06645,1.10647,0.69903,0.59543,0.64293,0.33299,1.5339,0.99612,1.07927,0.00307,0.00307,0.00307
16,1781.28,1.58095,1.04841,1.09518,0.70785,0.59841,0.64798,0.33729,1.54539,0.98062,1.07342,0.002575,0.002575,0.002575
17,1888.96,1.56495,1.03368,1.09017,0.73341,0.61299,0.67162,0.35814,1.48137,0.94365,1.05323,0.00208,0.00208,0.00208
18,1997.32,1.54282,1.01308,1.07923,0.72629,0.61321,0.66348,0.35539,1.47575,0.94264,1.05205,0.001585,0.001585,0.001585
19,2111.43,1.53295,0.99846,1.07693,0.73254,0.622,0.67369,0.36013,1.47755,0.93392,1.05032,0.00109,0.00109,0.00109
20,2235.97,1.51071,0.98508,1.06636,0.7387,0.62553,0.68193,0.36949,1.45704,0.91765,1.04453,0.000595,0.000595,0.000595
